# x_rel_mm	value	x_abs_mm	center_mm
3.19507	0	7.42189	4.22681
3.21726	0	7.44407	4.22681
3.23945	-0.127034	7.46626	4.22681
3.26164	0.0288867	7.48845	4.22681
3.28382	0.0432269	7.51064	4.22681
3.30601	0	7.53283	4.22681
3.3282	0	7.55501	4.22681
3.35039	0.0646027	7.5772	4.22681
3.37258	-0.0910702	7.59939	4.22681
3.39476	0.064371	7.62158	4.22681
3.41695	0.0664494	7.64377	4.22681
3.43914	0.0729435	7.66595	4.22681
3.46133	-0.0267555	7.68814	4.22681
3.48352	0.0608128	7.71033	4.22681
