# x_abs_mm	x_rel_mm	value
6.64531	-0.543606	0.377931
6.66749	-0.521418	0.376447
6.68968	-0.49923	0.366266
6.71187	-0.477042	0.330781
6.73406	-0.454854	0.280031
6.75625	-0.432666	0.0647396
6.77843	-0.410478	0
6.80062	-0.38829	0
6.82281	-0.366102	0
6.845	-0.343914	0
6.86719	-0.321726	0
6.88937	-0.299538	0
6.91156	-0.27735	0
6.93375	-0.255162	0
6.95594	-0.232974	0
6.97813	-0.210786	0
7.00031	-0.188598	0
7.0225	-0.16641	0
7.04469	-0.144222	0
7.06688	-0.122034	0
7.08907	-0.099846	0
7.11125	-0.077658	0
7.13344	-0.05547	0
7.15563	-0.033282	0
7.17782	-0.011094	0
7.20001	0.011094	0
7.22219	0.033282	0
7.24438	0.05547	0
7.26657	0.077658	0
7.28876	0.099846	0
7.31095	0.122034	0
7.33313	0.144222	0
7.35532	0.16641	0
7.37751	0.188598	0
7.3997	0.210786	0
7.42189	0.232974	0
7.44407	0.255162	0
7.46626	0.27735	0.00889516
7.48845	0.299538	0.145235
7.51064	0.321726	0.196538
7.53283	0.343914	0.213192
7.55501	0.366102	0.223105
7.5772	0.38829	0.231887
7.59939	0.410478	0.240854
7.62158	0.432666	0.250162
7.64377	0.454854	0.242411
7.66595	0.477042	0.241866
7.68814	0.49923	0.231916
7.71033	0.521418	0.226334
7.73252	0.543606	0.243081
7.75471	0.565794	0.252918
7.77689	0.587982	0.257083
7.79908	0.61017	0.234731
7.82127	0.632358	0.228326
7.84346	0.654546	0.220934
7.86565	0.676734	0.215178
7.88783	0.698922	0.196215
7.91002	0.72111	0.173643
7.93221	0.743298	0.166513
7.9544	0.765486	0.161143
7.97659	0.787674	0.13975
7.99877	0.809862	0.122301
8.02096	0.83205	0.107648
8.04315	0.854238	0.104106
8.06534	0.876426	0.103909
8.08753	0.898614	0.109132
8.10971	0.920802	0.110513
8.1319	0.94299	0.116595
8.15409	0.965178	0.122598
8.17628	0.987366	0.123055
8.19847	1.00955	0.122357
8.22065	1.03174	0.118009
8.24284	1.05393	0.119597
8.26503	1.07612	0.126435
8.28722	1.09831	0.145773
8.30941	1.12049	0.149067
8.33159	1.14268	0.156281
8.35378	1.16487	0.152925
8.37597	1.18706	0.141135
8.39816	1.20925	0.142956
8.42035	1.23143	0.142123
8.44253	1.25362	0.138321
8.46472	1.27581	0.138446
8.48691	1.298	0.146538
8.5091	1.32019	0.140213
8.53129	1.34237	0.138841
8.55347	1.36456	0.134258
8.57566	1.38675	0.135548
8.59785	1.40894	0.122885
8.62004	1.43113	0.117444
8.64223	1.45331	0.113112
8.66441	1.4755	0.109584
8.6866	1.49769	0.106806
8.70879	1.51988	0.114418
8.73098	1.54207	0.107381
8.75317	1.56425	0.105874
8.77535	1.58644	0.104756
8.79754	1.60863	0.0979818
8.81973	1.63082	0.0959921
8.84192	1.65301	0.107949
8.86411	1.67519	0.11412
8.88629	1.69738	0.108273
8.90848	1.71957	0.111585
8.93067	1.74176	0.120861
8.95286	1.76395	0.120116
8.97505	1.78613	0.13364
8.99723	1.80832	0.139961
9.01942	1.83051	0.13844
9.04161	1.8527	0.123996
9.0638	1.87489	0.118619
9.08599	1.89707	0.1255
9.10817	1.91926	0.119886
9.13036	1.94145	0.126981
9.15255	1.96364	0.1219
9.17474	1.98583	0.113205
9.19693	2.00801	0.107943
9.21911	2.0302	0.0932171
9.2413	2.05239	0.0891554
9.26349	2.07458	0.0793148
9.28568	2.09677	0.0807531
9.30787	2.11895	0.0663174
9.33005	2.14114	0.059857
9.35224	2.16333	0.0498671
9.37443	2.18552	0.0478619
9.39662	2.20771	0.0240986
9.41881	2.22989	0.0305235
9.44099	2.25208	0.0366756
9.46318	2.27427	0.0344547
9.48537	2.29646	0.0349162
9.50756	2.31865	0.0410457
9.52975	2.34083	0.0381308
9.55193	2.36302	0.0318889
9.57412	2.38521	0.0268933
9.59631	2.4074	0.0340101
9.6185	2.42959	0.042614
9.64069	2.45177	0.0370904
9.66287	2.47396	0.0408806
9.68506	2.49615	0.03971
9.70725	2.51834	0.0295841
9.72944	2.54053	0.0342429
9.75163	2.56271	0.0374419
9.77381	2.5849	0.0339225
9.796	2.60709	0.034133
9.81819	2.62928	0.0261001
9.84038	2.65147	0.0312047
9.86257	2.67365	0.0228909
9.88475	2.69584	0.0116284
9.90694	2.71803	0.000570088
9.92913	2.74022	-0.0050785
9.95132	2.76241	0.00580515
9.97351	2.78459	0.0181461
9.99569	2.80678	0.0231228
10.0179	2.82897	0.0195918
10.0401	2.85116	0.0171688
10.0623	2.87335	0.0117807
10.0844	2.89553	0.0162657
10.1066	2.91772	0.0310504
10.1288	2.93991	0.0414878
10.151	2.9621	0.0385587
10.1732	2.98429	0.0329075
10.1954	3.00647	0.0298795
10.2176	3.02866	0.0272088
10.2398	3.05085	0.0276494
10.262	3.07304	0.0246754
10.2841	3.09523	0.0259575
10.3063	3.11741	0.0253652
10.3285	3.1396	0.0326998
10.3507	3.16179	0.0284211
10.3729	3.18398	0.0235587
10.3951	3.20617	0.0166133
10.4173	3.22835	0.0137143
10.4395	3.25054	0.0104498
10.4616	3.27273	0.0130249
