# x_abs_mm	x_rel_mm	value
6.40124	0.321726	0
6.42343	0.343914	0
6.44561	0.366102	0
6.4678	0.38829	0
6.48999	0.410478	0
6.51218	0.432666	0
6.53437	0.454854	0
6.55655	0.477042	0
6.57874	0.49923	0
6.60093	0.521418	0
6.62312	0.543606	0
6.64531	0.565794	0
6.66749	0.587982	0
6.68968	0.61017	0
6.71187	0.632358	0.0134213
6.73406	0.654546	0.0442761
6.75625	0.676734	0.130832
6.77843	0.698922	0.280174
6.80062	0.72111	0.264283
6.82281	0.743298	0.229037
6.845	0.765486	0.210256
6.86719	0.787674	0.211155
6.88937	0.809862	0.190134
6.91156	0.83205	0.20101
6.93375	0.854238	0.187756
6.95594	0.876426	0.151384
6.97813	0.898614	0.138664
7.00031	0.920802	0.127942
7.0225	0.94299	0.153111
7.04469	0.965178	0.153921
7.06688	0.987366	0.157832
7.08907	1.00955	0.170701
7.11125	1.03174	0.17354
7.13344	1.05393	0.166023
7.15563	1.07612	0.161155
7.17782	1.09831	0.155151
7.20001	1.12049	0.14974
7.22219	1.14268	0.156181
7.24438	1.16487	0.150736
7.26657	1.18706	0.154741
7.28876	1.20925	0.165701
7.31095	1.23143	0.177501
7.33313	1.25362	0.172122
7.35532	1.27581	0.167637
7.37751	1.298	0.153048
7.3997	1.32019	0.158105
7.42189	1.34237	0.150118
7.44407	1.36456	0.149267
7.46626	1.38675	0.15266
7.48845	1.40894	0.159016
7.51064	1.43113	0.145819
7.53283	1.45331	0.146143
7.55501	1.4755	0.144061
7.5772	1.49769	0.163007
7.59939	1.51988	0.165397
7.62158	1.54207	0.184687
7.64377	1.56425	0.193292
7.66595	1.58644	0.206861
7.68814	1.60863	0.203928
7.71033	1.63082	0.188682
7.73252	1.65301	0.176053
7.75471	1.67519	0.169205
7.77689	1.69738	0.156373
7.79908	1.71957	0.152252
7.82127	1.74176	0.154869
7.84346	1.76395	0.130496
7.86565	1.78613	0.126861
7.88783	1.80832	0.133834
7.91002	1.83051	0.14353
7.93221	1.8527	0.148942
7.9544	1.87489	0.150899
7.97659	1.89707	0.147312
7.99877	1.91926	0.134543
8.02096	1.94145	0.146483
8.04315	1.96364	0.133471
8.06534	1.98583	0.118556
8.08753	2.00801	0.132691
8.10971	2.0302	0.137118
8.1319	2.05239	0.13136
8.15409	2.07458	0.12706
8.17628	2.09677	0.125268
8.19847	2.11895	0.135668
8.22065	2.14114	0.121479
8.24284	2.16333	0.120446
8.26503	2.18552	0.123261
8.28722	2.20771	0.131968
8.30941	2.22989	0.136217
8.33159	2.25208	0.141247
8.35378	2.27427	0.142071
8.37597	2.29646	0.14676
8.39816	2.31865	0.139376
8.42035	2.34083	0.149556
8.44253	2.36302	0.135682
8.46472	2.38521	0.146318
8.48691	2.4074	0.133561
8.5091	2.42959	0.114361
8.53129	2.45177	0.0988044
8.55347	2.47396	0.102239
8.57566	2.49615	0.107141
8.59785	2.51834	0.0949405
8.62004	2.54053	0.104906
8.64223	2.56271	0.094559
8.66441	2.5849	0.10852
8.6866	2.60709	0.120935
8.70879	2.62928	0.142767
8.73098	2.65147	0.131344
8.75317	2.67365	0.128339
8.77535	2.69584	0.130091
8.79754	2.71803	0.124109
8.81973	2.74022	0.113979
8.84192	2.76241	0.11987
8.86411	2.78459	0.106474
8.88629	2.80678	0.127678
8.90848	2.82897	0.124612
8.93067	2.85116	0.11658
8.95286	2.87335	0.0957282
8.97505	2.89553	0.058384
8.99723	2.91772	0.0385588
9.01942	2.93991	0.0430723
9.04161	2.9621	0.0446208
9.0638	2.98429	0.0573321
9.08599	3.00647	0.0676597
9.10817	3.02866	0.0753684
9.13036	3.05085	0.0782098
9.15255	3.07304	0.076745
9.17474	3.09523	0.0746579
9.19693	3.11741	0.0577205
